コード,銘柄名,順位
7419.T,ノジマ,833
7242.T,カヤバ,834
1964.T,中外炉工業,835
6279.T,瑞光,836
9158.T,シーユーシー,837
6367.T,ダイキン工業,838
7722.T,国際計測器,839
7956.T,ピジョン,840
6954.T,ファナック,841
2436.T,共同ピーアール,842
5302.T,日本カーボン,843
6395.T,タダノ,844
9850.T,グルメ杵屋,845
4310.T,ドリームインキュベータ,846
3778.T,さくらインターネット,847
4628.T,エスケー化研,848
7839.T,ＳＨＯＥＩ,849
6849.T,日本光電工業,850
7606.T,ユナイテッドアローズ,851
8098.T,稲畑産業,852
2229.T,カルビー,853
7182.T,ゆうちょ銀行,854
3680.T,ホットリンク,855
5982.T,マルゼン,856
3758.T,アエリア,857
2201.T,森永製菓,858
8276.T,平和堂,859
7984.T,コクヨ,860
4783.T,ＮＣＤ,861
4231.T,タイガースポリマー,862
1975.T,朝日工業社,863
1897.T,金下建設,864
1429.T,日本アクア,865
2790.T,ナフコ,866
3929.T,ソーシャルワイヤー,867
7065.T,ユーピーアール,868
2531.T,宝ホールディングス,869
3153.T,八洲電機,870
2163.T,アルトナー,871
